Username;Nome;Sexo;Data_Nascimento;Ocupação;Assinatura;Total_Gasto 
Neave1959;"Mrs Anna 	     Sharp";feminino;02/02/1970;Engenheiro de Dados;18/09/2020;140.04
Nicterims1993;"  Mrs 	Daisy Anderson  ";masculino;05/07/1985;Engenheiro de Dados;29/01/2021;2417.81
Fouldlairity;"Ms Zoe 	Peacock";masculino;03/06/1964;Analista Financeiro;04/12/2020;51.95
Ancomettiody;" Mrs Libby 	Williams  ";feminino;04/09/1974;Estatístico;21/11/2020;130.73
Onswis;"Ms Katie 	Metcalfe";feminino;01/07/1983;Engenheiro de Machine Learning;27/02/2021;1778.72
Majeappre;"Mr Luca 	Vaughan";feminino;03/01/1971;Gerente de Tecnologia;15/07/2022;1034.74
Theired;"Mr Henry 	Haynes";masculino;06/09/1951;Analista de Inteligência de Mercado;23/12/2022;1320.04
Botter;"Mr Noah 	Walton";feminino;09/03/1991;Web Designer;26/07/2022;3464.72
Neaude1978;"  Mr 	Bailey Glover  ";masculino;01/12/1979;Analista de Inteligência de Mercado;01/10/2021;1257.45
Maress39;"Mrs  	 Isabella   Fowler";feminino;04/08/1960;Arquiteto de Dados;24/03/2020;771.99
Kehonell;" Mrs Chloe 	Kirby  ";feminino;28/06/1949;Analista de RH;07/06/2020;1021.77
Thimpay;" Mrs Louise 	Clark  ";feminino;07/01/1995;Arquiteto de Dados;03/11/2020;234.76
Giall1985;"Mr Harrison 	 Bowen";feminino;04/04/1987;Engenheiro de Dados;25/03/2020;628.07
Lhey1965;"Mrs Georgina 	Banks";feminino;04/03/1967;Cientista de Dados;20/05/2022;1294.51
Rhearompal;"Ms Ellie 	Hudson";masculino;10/05/1956;Desenvolvedor Java;08/06/2022;2181.81
Bhaptes77;"Mrs  	Caitlin Harris";masculino;04/06/1978;Desenvolvedor de Chatbots;12/09/2021;1142.29
Lairieve1993;"Mr Zak 	Potter";feminino;11/06/1994;Engenheiro de Inteligência Artificial;18/09/2020;453.67
Riculd29;"  Mr 	Jordan Andrews  ";feminino;30/08/1950;Especialista em Cloud Computing;30/08/2022;1107.94
Aphis1966;" Mrs Katie 	Reynolds  ";feminino;12/08/1967;Engenheiro Elétrico;15/09/2022;2867.68
Ambleverce;"Mr Declan 	Hancock";feminino;28/09/1966;Engenheiro de Dados;11/03/2020;40.31
Awyear;"  Mr 	Spencer Vincent  ";feminino;11/06/1980;Arquiteto de Dados;03/07/2021;643.68
Entioncesay;"Mr Evan 	    Dickinson";feminino;03/03/1971;Engenheiro de Dados;06/06/2020;253.85
Onall1971;" Ms Summer 	Vincent  ";feminino;11/06/1973;Engenheiro de Dados;16/06/2020;108.81
Thearthe;"Mrs Kate 	Birch";masculino;29/04/1958;Cientista de Dados;27/07/2021;421.19
Fliptatheaus1934;"Mr Josh 	Porter";masculino;30/09/1955;Cientista de Dados;07/10/2020;551.68
Tractinglery;"Mr Gabriel 	Gough";feminino;05/01/1953;Cientista de Dados;10/01/2020;47.29
Cathad;"Mrs Abby 	O'Neill";feminino;27/04/1954;Cientista de Dados;29/11/2020;404.6
Pencier;"Mr Spencer 	Franklin";masculino;27/05/1961;Cientista de Dados;05/06/2021;1572.12
Luse1939;"Mrs Aimee 	   Collier";masculino;29/07/1960;Cientista de Dados;21/11/2022;3081.33
Proplied;"Mrs Abbie 	    Read";masculino;01/06/1977;Cientista de Dados;23/05/2020;200.54
